id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
NC_036045,Coleoptera,Cucujiformia,Tenebrionoidea,Meloidae,,,Hycleus,Hycleus phaleratus,
NC_036104,Coleoptera,Cucujiformia,Cucujoidea,Nitidulidae,Nitidulinae,,,Aethina tumida,
NC_036268,Coleoptera,,Caraboidea,Carabidae,Harpalinae,,,Amara communis,
NC_036270,Coleoptera,,Hydrophiloidea,Hydrochidae,,,Hydrochus,Hydrochus carinatus,
NC_036274,Coleoptera,Cucujiformia,Tenebrionoidea,Salpingidae,,,,Vincenzellus ruficollis,
NC_036277,Coleoptera,Cucujiformia,Tenebrionoidea,Ripiphoridae,,,,Pelecotoma fennica,
NC_036294,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,Gnathotrichus materiarius,
NC_036507,Coleoptera,,Caraboidea,Carabidae,,,,Carabus lafossei,
NC_037749,Coleoptera,,Dytiscoidea,Dytiscidae,Hydroporinae,,,Limbodessus palmulaoides,
NC_038090,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lepturinae,,,Anastrangalia sequensi,
NC_038115,Coleoptera,,Scarabaeoidea,Scarabaeidae,Rutelinae,,,Popillia japonica,
NC_038191,Coleoptera,,Caraboidea,Carabidae,Cicindelinae,,,Cicindela anchoralis,
NC_040931,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Entiminae,,,Myllocerinus aurolineatus,
NC_046580,Coleoptera,Cucujiformia,Curculionoidea,Brentidae,Cyladinae,,Cylas,Cylas formicarius,

