id,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
CPBC0201,Coleoptera,,,,Brentidae,Apioninae,,,,col304
CPBC0202,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col305
CPBC0203,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col306
CPBC0204,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col307
CPBC0205,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col307
CPBC0206,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col308
CPBC0207,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col310
CPBC0209,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col313
CPBC0208,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col313
CPBC0210,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col314
CPBC0211,Coleoptera,,,,,,,,,col315
CPBC0212,Coleoptera,,,,Curculionidae,,,,,col316
CPBC0213,Coleoptera,,,,Chrysomelidae,,,,,col320
CPBC0214,Coleoptera,,,,Staphylinidae,,,,,col325
CPBC0216,Coleoptera,,,,Staphylinidae,,,,,col328
CPBC0217,Coleoptera,,,,Staphylinidae,,,,,col329
CPBC0218,Coleoptera,,,,Staphylinidae,,,,,col330
CPBC0219,Coleoptera,,,,Staphylinidae,,,,,col332
CPBC0220,Coleoptera,,,,Staphylinidae,,,,,col333
CPBC0221,Coleoptera,,,,Staphylinidae,,,,,col334
CPBC0225,Coleoptera,,,,,,,,,col344
CPBC0226,Coleoptera,,,,,,,,,col345
CPBC0227,Coleoptera,,,,,,,,,col354
CPBC0228,Coleoptera,,,,,,,,,col355
CPBC0229,Coleoptera,,,,,,,,,col370
CPBC0230,Coleoptera,,,,,,,,,col375
CPBC0231,Coleoptera,,,,,,,,,col378
CPBC0232,Coleoptera,,,,,,,,,col381
CPBC0233,Coleoptera,,,,,,,,,col389
CPBC0234,Coleoptera,,,,,,,,,col389
CPBC0235,Coleoptera,,,,,,,,,col466
